,headline,onclick,article_id
0,"Delegation of Koreans in Japan Pay Tribute to Statues of President Kim Il Sung, Chairman Kim Jong Il","fn_showArticle(""AR0126313"", """", ""NT21"", ""L"")",AR0126313
1,Greetings to Seychellois President,"fn_showArticle(""AR0126295"", """", ""NT21"", ""L"")",AR0126295
2,Venezuelan City's Highest Order Awarded to Supreme Leader Kim Jong Un,"fn_showArticle(""AR0126287"", """", ""NT21"", ""L"")",AR0126287
3,Xi Jinping to Visit DPRK,"fn_showArticle(""AR0126286"", """", ""NT21"", ""L"")",AR0126286
4,Kim Jae Ryong Inspects Tokchon Area Coal-Mining Complex,"fn_showArticle(""AR0126281"", """", ""NT21"", ""L"")",AR0126281
5,Double-Dealing Tactics Will Never Work: KCNA Commentary,"fn_showArticle(""AR0126277"", """", ""NT21"", ""L"")",AR0126277
6,Central Election Guidance Committee Formed in DPRK,"fn_showArticle(""AR0126169"", """", ""NT21"", ""L"")",AR0126169
7,Congratulations to President of Kazakhstan,"fn_showArticle(""AR0126127"", """", ""NT21"", ""L"")",AR0126127
8,Greetings to Philippine President,"fn_showArticle(""AR0126118"", """", ""NT21"", ""L"")",AR0126118
9,"KCNA Commentary Rebukes Japan's Attachment to ""Flag of Rising Sun Shedding Rays""","fn_showArticle(""AR0126117"", """", ""NT21"", ""L"")",AR0126117
10,Results of 2018-2019 DPRK Premier Football League (14),"fn_showArticle(""AR0126278"", """", ""NT11"", ""L"")",AR0126278
11,Road Relay Held in DPRK,"fn_showArticle(""AR0126227"", """", ""NT11"", ""L"")",AR0126227
12,Results of 2018-2019 DPRK Women's Premier Football League (12),"fn_showArticle(""AR0126226"", """", ""NT11"", ""L"")",AR0126226
13,Results of 2018-2019 DPRK Premier Football League (13),"fn_showArticle(""AR0126058"", """", ""NT11"", ""L"")",AR0126058
14,Results of 2018-2019 DPRK Women's Premier Football League (11),"fn_showArticle(""AR0126009"", """", ""NT11"", ""L"")",AR0126009
15,Pyongyang International Sci-Tech Exhibition of Health and Medical Appliances Opens,"fn_showArticle(""AR0126283"", """", ""NT09"", ""L"")",AR0126283
16,Fictions and Models - 2019 Held,"fn_showArticle(""AR0125978"", """", ""NT09"", ""L"")",AR0125978
17,Tour by Super-light Planes Popular in DPRK,"fn_showArticle(""AR0124762"", """", ""NT19"", ""L"")",AR0124762
18,MOU Signed between DPRK and Russia,"fn_showArticle(""AR0122941"", """", ""NT19"", ""L"")",AR0122941
19,Masikryong Ski Resort,"fn_showArticle(""AR0121949"", """", ""NT19"", ""L"")",AR0121949
20,Tour of Historical Sites in Kangso Area Begins,"fn_showArticle(""AR0121709"", """", ""NT19"", ""L"")",AR0121709
21,Scenic Mt Kumgang of Korea,"fn_showArticle(""AR0120090"", """", ""NT19"", ""L"")",AR0120090
22,Performance Given by State Merited Chorus to Mark Founding Anniversary of KPRA,"fn_showArticle(""AR0124586"", """", ""NT12"", ""L"")",AR0124586
23,Piano Concert Held by Students of Kim Won Gyun University of Music,"fn_showArticle(""AR0126163"", """", ""NT12"", ""L"")",AR0126163
