,City,URL,club_name,State
0,Birmingham,http://www.lapidaryclub.com/,Alabama Mineral & Lapidary Society,Alabama
1,Dothan,http://www.wiregrassrockhounds.com/,Dothan Gem & Mineral Club,Alabama
2,Huntsville,http://huntsvillegms.org/,Huntsville Gem and Mineral Society,Alabama
3,Mobile,http://www.mobilerockandgem.com/,Mobile Rock & Gem Society,Alabama
4,Montgomery,http://montgomerygemandmineralsociety.com/mgms/,Montgomery Gem & Mineral Society,Alabama
5,Anchorage,http://www.chugachgemandmineralsociety.com/,Chugach Gem & Mineral Society,Alaska
6,Palmer,http://matsurockclub.com/,Mat-Su Rock and Mineral Club,Alaska
7,Apache Junction,http://www.ajrockclub.com/,Apache Junction Rock and Gem Club,Arizona
8,Black Canyon City,http://www.bccrockclub.mysite.com/,Black Canyon City Rock Club,Arizona
9,Anthem,http://www.dmrmc.com/,Daisy Mountain Rock & Mineral Club,Arizona
10,Miami,http://gilagem.org/,Gila County Gem & Mineral Society,Arizona
11,Sierra Vista,http://www.huachucamineralandgemclub.info/,Huachuca Mineral and Gem Club,Arizona
12,Lake Havasu City,http://www.lakehavasugms.org/,Lake Havasu Gem & Mineral Society,Arizona
13,Scottsdale,http://www.msaaz.org/,Mineralogical Society of Arizona,Arizona
14,Cottonwood,http://www.mingusclub.org/,Mingus Gem & Mineral Club,Arizona
15,Kingman,http://www.gemstoners.org/,Mohave County Gemstoners,Arizona
16,Tucson,http://www.lapidaryclub.org/,Old Pueblo Lapidary Club,Arizona
17,Prescott Valley,http://www.prescottgemmineral.org/,Prescott Gem & Mineral Club,Arizona
18,Quartzsite,http://www.qrgmc.org/,Quartzsite Roadrunners Gem & Mineral Club,Arizona
19,Phoenix,http://rockhounds.scwclubs.com/,Rockhounds West,Arizona
20,Sedona,http://www.sedonagemandmineral.org/,Sedona Gem & Mineral Club,Arizona
21,Bullhead City,http://scrrc.blogspot.com/,Silvery Colorado River Rock Club,Arizona
22,Pearce,https://sites.google.com/site/cochisecountyrock/,Sunsites Gem and Mineral Club,Arizona
23,Tucson,http://www.tgms.org/,Tucson Gem and Mineral Society,Arizona
24,Cottonwood,http://www.verderiverrockhounds.com/,Verde River Rockhounds,Arizona
25,Buckeye,http://www.westvalleyrockandmineralclub.com/,West Valley Rock & Mineral Club,Arizona
26,Show Low,http://whitemountain-azrockclub.org/,White Mountain Gem & Mineral Club,Arizona
27,Wickenburg,http://www.wickenburggms.org/,Wickenburg Gem and Mineral Society,Arizona
28,Little Rock,http://www.centralarrockhound.org/,"Central Arkansas Gem, Mineral and Geology Society",Arkansas
29,Siloam Springs,http://www.nwarockhounds.org/,Northwest Arkansas Gem & Mineral Society,Arkansas
30,Mountain Home,https://www.ozarkearthscience.com/,"Ozark Earth Science Gem, Mineral & Fossil Club",Arkansas
31,Sutter Creek,http://www.amadorgemandmineral.org/,Amador County Gem & Mineral Society,California
32,Anaheim,http://www.opalsociety.org/,American Opal Society,California
33,Lancaster,http://avgem.weebly.com/,Antelope Valley Gem and Mineral Club,California
34,Antioch,http://www.antiochlapidaryclub.com/,Antioch Lapidary Club,California
35,Borrego Springs,http://www.abdnha.org/bragclub.html,Borrego Rock and Gem Club,California
36,Angels Camp,http://www.calaverasgemandmineral.org/,Calaveras Gem & Mineral Society,California
37,Pacific Grove,http://www.cvgms.rocks/,Carmel Valley Gem and Mineral Society,California
38,San Luis Obispo,http://www.cctha.org/,Central Coast Treasure Hunters Association,California
39,Coalinga,https://sites.google.com/site/coalingarockhounds/,Coalinga Rockhound Society,California
40,Thousand Oaks,http://www.cgamc.org/,Conejo Gem & Mineral Club,California
41,Concord,http://www.ccmgs.org/,Contra Costa Mineral & Gem Society,California
42,Culver City,http://culvercityrocks.org/,The Culver City Rock and Mineral Club,California
43,Northridge,http://delairrockhounds.blogspot.com/,Del Air Rockhounds Club,California
44,Bellflower,https://delversgemclub.wordpress.com/,Delvers Gem & Mineral Society,California
45,El Cajon,http://www.ecvgms.org/,El Cajon Valley Gem & Mineral Society,California
