,Title,URL
0,I Saw Her Standing There,/lyrics/beatles/isawherstandingthere.html
1,Misery,/lyrics/beatles/misery.html
2,Anna (Go To Him),/lyrics/beatles/annagotohim.html
3,Chains,/lyrics/beatles/chains.html
4,Boys,/lyrics/beatles/boys.html
5,Ask Me Why,/lyrics/beatles/askmewhy.html
6,Please Please Me,/lyrics/beatles/pleasepleaseme.html
7,Love Me Do,/lyrics/beatles/lovemedo.html
8,P.S. I Love You,/lyrics/beatles/psiloveyou.html
9,Baby It's You,/lyrics/beatles/babyitsyou.html
10,Do You Want To Know A Secret,/lyrics/beatles/doyouwanttoknowasecret.html
11,A Taste Of Honey,/lyrics/beatles/atasteofhoney.html
12,There's A Place,/lyrics/beatles/theresaplace.html
13,Twist And Shout,/lyrics/beatles/twistandshout.html
14,It Won't Be Long,/lyrics/beatles/itwontbelong.html
15,All I've Got To Do,/lyrics/beatles/allivegottodo.html
16,All My Loving,/lyrics/beatles/allmyloving.html
17,Don't Bother Me,/lyrics/beatles/dontbotherme.html
18,Little Child,/lyrics/beatles/littlechild.html
19,Till There Was You,/lyrics/beatles/tilltherewasyou.html
20,Please Mister Postman,/lyrics/beatles/pleasemisterpostman.html
21,Roll Over Beethoven,/lyrics/beatles/rolloverbeethoven.html
22,Hold Me Tight,/lyrics/beatles/holdmetight.html
23,You Really Got A Hold On Me,/lyrics/beatles/youreallygotaholdonme.html
24,I Wanna Be Your Man,/lyrics/beatles/iwannabeyourman.html
25,Devil In Her Heart,/lyrics/beatles/devilinherheart.html
26,Not A Second Time,/lyrics/beatles/notasecondtime.html
27,Money (That's What I Want),/lyrics/beatles/moneythatswhatiwant.html
28,A Hard Day's Night,/lyrics/beatles/aharddaysnight.html
29,I Should Have Known Better,/lyrics/beatles/ishouldhaveknownbetter.html
30,If I Fell,/lyrics/beatles/ififell.html
31,I'm Happy Just To Dance With You,/lyrics/beatles/imhappyjusttodancewithyou.html
32,And I Love Her,/lyrics/beatles/andiloveher.html
33,Tell Me Why,/lyrics/beatles/tellmewhy.html
34,Can't Buy Me Love,/lyrics/beatles/cantbuymelove.html
35,Any Time At All,/lyrics/beatles/anytimeatall.html
36,I'll Cry Instead,/lyrics/beatles/illcryinstead.html
37,Things We Said Today,/lyrics/beatles/thingswesaidtoday.html
38,When I Get Home,/lyrics/beatles/whenigethome.html
39,You Can't Do That,/lyrics/beatles/youcantdothat.html
40,I'll Be Back,/lyrics/beatles/illbeback.html
41,No Reply,/lyrics/beatles/noreply.html
42,I'm A Loser,/lyrics/beatles/imaloser.html
43,Baby's In Black,/lyrics/beatles/babysinblack.html
44,Rock And Roll Music,/lyrics/beatles/rockandrollmusic.html
45,I'll Follow The Sun,/lyrics/beatles/illfollowthesun.html
46,Mr. Moonlight,/lyrics/beatles/mrmoonlight.html
47,"Medley: Kansas City / Hey, Hey, Hey, Hey",/lyrics/beatles/medleykansascityheyheyheyhey.html
48,Eight Days A Week,/lyrics/beatles/eightdaysaweek.html
49,Words Of Love,/lyrics/beatles/wordsoflove.html
50,Honey Don't,/lyrics/beatles/honeydont.html
51,Every Little Thing,/lyrics/beatles/everylittlething.html
52,I Don't Want To Spoil The Party,/lyrics/beatles/idontwanttospoiltheparty.html
53,What You're Doing,/lyrics/beatles/whatyouredoing.html
54,Everybody's Trying To Be My Baby,/lyrics/beatles/everybodystryingtobemybaby.html
55,Help!,/lyrics/beatles/help.html
56,The Night Before,/lyrics/beatles/thenightbefore.html
57,You've Got To Hide Your Love Away,/lyrics/beatles/youvegottohideyourloveaway.html
58,I Need You,/lyrics/beatles/ineedyou.html
59,Another Girl,/lyrics/beatles/anothergirl.html
60,You're Going To Lose That Girl,/lyrics/beatles/youregoingtolosethatgirl.html
61,Ticket To Ride,/lyrics/beatles/tickettoride.html
62,Act Naturally,/lyrics/beatles/actnaturally.html
63,It's Only Love,/lyrics/beatles/itsonlylove.html
64,You Like Me Too Much,/lyrics/beatles/youlikemetoomuch.html
65,Tell Me What You See,/lyrics/beatles/tellmewhatyousee.html
66,I've Just Seen A Face,/lyrics/beatles/ivejustseenaface.html
67,Yesterday,/lyrics/beatles/yesterday.html
68,Dizzy Miss Lizzy,/lyrics/beatles/dizzymisslizzy.html
69,Drive My Car,/lyrics/beatles/drivemycar.html
70,Norwegian Wood (This Bird Has Flown),/lyrics/beatles/norwegianwoodthisbirdhasflown.html
71,You Won't See Me,/lyrics/beatles/youwontseeme.html
72,Nowhere Man,/lyrics/beatles/nowhereman.html
73,Think For Yourself,/lyrics/beatles/thinkforyourself.html
74,The Word,/lyrics/beatles/theword.html
75,Michelle,/lyrics/beatles/michelle.html
76,What Goes On,/lyrics/beatles/whatgoeson.html
77,Girl,/lyrics/beatles/girl.html
78,I'm Looking Through You,/lyrics/beatles/imlookingthroughyou.html
79,In My Life,/lyrics/beatles/inmylife.html
80,Wait,/lyrics/beatles/wait.html
81,If I Needed Someone,/lyrics/beatles/ifineededsomeone.html
82,Run For Your Life,/lyrics/beatles/runforyourlife.html
83,Taxman,/lyrics/beatles/taxman.html
84,Eleanor Rigby,/lyrics/beatles/eleanorrigby.html
85,I'm Only Sleeping,/lyrics/beatles/imonlysleeping.html
86,Love You To,/lyrics/beatles/loveyouto.html
87,"Here, There And Everywhere",/lyrics/beatles/herethereandeverywhere.html
88,Yellow Submarine,/lyrics/beatles/yellowsubmarine.html
89,"She Said, She Said",/lyrics/beatles/shesaidshesaid.html
90,Good Day Sunshine,/lyrics/beatles/gooddaysunshine.html
91,And Your Bird Can Sing,/lyrics/beatles/andyourbirdcansing.html
92,For No One,/lyrics/beatles/fornoone.html
93,Doctor Robert,/lyrics/beatles/doctorrobert.html
94,I Want To Tell You,/lyrics/beatles/iwanttotellyou.html
95,Got To Get You Into My Life,/lyrics/beatles/gottogetyouintomylife.html
96,Tomorrow Never Knows,/lyrics/beatles/tomorrowneverknows.html
97,Sgt. Pepper's Lonely Hearts Club Band,/lyrics/beatles/sgtpepperslonelyheartsclubband.html
98,With A Little Help From My Friends,/lyrics/beatles/withalittlehelpfrommyfriends.html
99,Lucy In The Sky With Diamonds,/lyrics/beatles/lucyintheskywithdiamonds.html
100,Getting Better,/lyrics/beatles/gettingbetter.html
101,Fixing A Hole,/lyrics/beatles/fixingahole.html
102,She's Leaving Home,/lyrics/beatles/shesleavinghome.html
103,Being For The Benefit Of Mr. Kite!,/lyrics/beatles/beingforthebenefitofmrkite.html
104,Within You Without You,/lyrics/beatles/withinyouwithoutyou.html
105,When I'm Sixty Four,/lyrics/beatles/whenimsixtyfour.html
106,Lovely Rita,/lyrics/beatles/lovelyrita.html
107,"Good Morning, Good Morning",/lyrics/beatles/goodmorninggoodmorning.html
108,Sgt. Pepper's Lonely Hearts Club Band (Reprise),/lyrics/beatles/sgtpepperslonelyheartsclubbandreprise.html
109,A Day In The Life,/lyrics/beatles/adayinthelife.html
110,Magical Mystery Tour,/lyrics/beatles/magicalmysterytour.html
111,The Fool On The Hill,/lyrics/beatles/thefoolonthehill.html
112,Flying,/lyrics/beatles/flying.html
113,Blue Jay Way,/lyrics/beatles/bluejayway.html
114,Your Mother Should Know,/lyrics/beatles/yourmothershouldknow.html
115,I Am The Walrus,/lyrics/beatles/iamthewalrus.html
116,"Hello, Goodbye",/lyrics/beatles/hellogoodbye.html
117,Strawberry Fields Forever,/lyrics/beatles/strawberryfieldsforever.html
118,Penny Lane,/lyrics/beatles/pennylane.html
119,"Baby, You're A Rich Man",/lyrics/beatles/babyyourearichman.html
120,All You Need Is Love,/lyrics/beatles/allyouneedislove.html
121,Back In The U.S.S.R.,/lyrics/beatles/backintheussr.html
122,Dear Prudence,/lyrics/beatles/dearprudence.html
123,Glass Onion,/lyrics/beatles/glassonion.html
124,"Ob-La-Di, Ob-La-Da",/lyrics/beatles/obladioblada.html
125,Wild Honey Pie,/lyrics/beatles/wildhoneypie.html
126,The Continuing Story Of Bungalow Bill,/lyrics/beatles/thecontinuingstoryofbungalowbill.html
127,While My Guitar Gently Weeps,/lyrics/beatles/whilemyguitargentlyweeps.html
128,Happiness Is A Warm Gun,/lyrics/beatles/happinessisawarmgun.html
129,Martha My Dear,/lyrics/beatles/marthamydear.html
130,I'm So Tired,/lyrics/beatles/imsotired.html
131,Blackbird,/lyrics/beatles/blackbird.html
132,Piggies,/lyrics/beatles/piggies.html
133,Rocky Raccoon,/lyrics/beatles/rockyraccoon.html
134,Don't Pass Me By,/lyrics/beatles/dontpassmeby.html
135,Why Don't We Do It In The Road?,/lyrics/beatles/whydontwedoitintheroad.html
136,I Will,/lyrics/beatles/iwill.html
137,Julia,/lyrics/beatles/julia.html
138,Birthday,/lyrics/beatles/birthday.html
139,Yer Blues,/lyrics/beatles/yerblues.html
140,Mother Nature's Son,/lyrics/beatles/mothernaturesson.html
141,Everybody's Got Something To Hide Except Me And My Monkey,/lyrics/beatles/everybodysgotsomethingtohideexceptmeandmymonkey.html
142,Sexy Sadie,/lyrics/beatles/sexysadie.html
143,Helter Skelter,/lyrics/beatles/helterskelter.html
144,"Long, Long, Long",/lyrics/beatles/longlonglong.html
145,Revolution 1,/lyrics/beatles/revolution1.html
146,Honey Pie,/lyrics/beatles/honeypie.html
147,Savoy Truffle,/lyrics/beatles/savoytruffle.html
148,Cry Baby Cry,/lyrics/beatles/crybabycry.html
