,Category,Make_again,Rating,Summary,Title,URL,Ingredients,Directions,Tags
0,recipe,0%,0.0,This boldly flavored fruit salad is a welcome accompaniment to any grilled main.,Watermelon with Lime Dressing and Peanuts,https://www.epicurious.com//recipes/food/views/watermelon-with-lime-dressing-and-peanuts,"2 Tbsp. fresh lime juice, 1 Tbsp. fish sauce, 1 1/2 tsp. sugar, 2 sprigs basil, plus leaves for serving, 1/2 (6-lb.) baby seedless watermelon, rind removed, flesh cut into irregular bite-size pieces (about 6 cups), 1/4 cup salted, dry-roasted peanuts, 2 Tbsp. extra-virgin olive oil, Flaky sea salt","Stir lime juice, fish sauce, sugar, and 1 Tbsp. water in a large bowl until sugar is dissolved. Lightly crush 2 basil sprigs by scrunching up in your hand and add to dressing along with watermelon; toss gently until coated. Transfer watermelon salad to a platter, leaving basil sprigs behind. Top with peanuts and basil leaves, drizzle with oil, and season with salt.","Bon Appétit, Watermelon, Lime Juice, Basil, Peanut, Salad, Fruit, Melon"
2,recipe,73%,3.5,Quickly caramelized pineapple and sautéed shrimp are tossed in a sweet and sour sauce with lots of fresh basil and spooned over rice noodles for a quick dinner that beats takeout any day.,Pineapple Shrimp Noodle Bowls,https://www.epicurious.com//recipes/food/views/pineapple-shrimp-noodle-bowls,"12 oz. pad Thai–style rice noodles, 1 lb. large shrimp, 12 oz. (1"") fresh pineapple cubes (about 2 cups; from ½ pineapple), 1 tsp. kosher salt, 2 Tbsp. soy sauce or tamari, 1 Tbsp. freshly grated ginger, 2 Tbsp. vegetable oil, 2½ cups pineapple juice, 1 Tbsp. chili-garlic sauce, such as Huy Fong, 1 cup basil leaves, plus more for serving, 2 mini seedless cucumbers, thinly sliced, ½ small red onion, very thinly sliced crosswise, ½ cup salted roasted peanuts, coarsely chopped, Lime wedges (for serving)","Cook rice noodles according to package directions. Meanwhile, toss shrimp and pineapple in a large bowl; season with salt. Add soy sauce and ginger and toss again to coat. Heat oil in a large nonstick skillet over medium-high. Using tongs, pluck out just the pineapple and cook, stirring often, until well browned on all sides, 5–6 minutes. Transfer to a plate. Add shrimp to same skillet and cook over medium-high heat, stirring often, until pink and opaque, 3–4 minutes. Transfer to plate with pineapple. Cook pineapple juice and chili-garlic sauce in same skillet over medium-high heat, scraping up browned bits with a rubber spatula or wooden spoon and stirring occasionally, until reduced by half and slightly syrupy, 12–16 minutes. Remove from heat. Stir in pineapple-shrimp mixture and 1 cup basil. Divide rice noodles among bowls. Spoon pineapple-shrimp mixture over noodles and drizzle with extra sauce. Top with cucumbers, onion, peanuts, and more basil. Serve with lime wedges alongside for squeezing over.","Shrimp, Noodle, Pineapple, Soy Sauce, Ginger, Basil, Cucumber, Onion, Peanut, Lime, Dinner, Tropical Fruit, Quick & Easy, Pasta, Rice, Wheat/Gluten-Free, Asian"
3,recipe,50%,3.5,"The shrimp cooks in minutes, so while it’s marinating,  set out a platter of lettuce cups, mint sprigs, chopped peanuts, sliced cucumbers, and the reserved sauce.",Sambal Shrimp Lettuce Wraps,https://www.epicurious.com//recipes/food/views/sambal-shrimp-lettuce-wraps,"1/2 cup hot chili paste (such as sambal oelek), 1/4 cup honey, 1/4 cup unseasoned rice vinegar, 4 tsp. toasted sesame oil, divided, 1 1/2 lb. large shrimp, Kosher salt, 1–2 Tbsp. vegetable oil, 2 Persian cucumbers, thinly sliced into rounds, Flaky sea salt, 2 heads of Bibb lettuce, leaves separated, covered, chilled, 1/2 cup mint sprigs, 1/2 cup crushed salted, dry-roasted peanuts","Whisk hot chili paste, honey, vinegar, and 2 tsp. sesame oil in a small bowl to combine. Season shrimp lightly with kosher salt and place in a resealable plastic bag. Pour in half of marinade and seal bag. Transfer remaining marinade to a small bowl and set aside for serving. Let shrimp sit at room temperature, turning the bag occasionally to ensure even coating, 10–15 minutes. Remove shrimp from marinade, allowing excess to drip back into bag, and transfer to paper towels to drain. Heat 1 Tbsp. vegetable oil in a large cast-iron skillet over medium-high until shimmering. Working in batches and adding another 1 Tbsp. oil along the way if the skillet is looking dry, arrange shrimp in skillet in a single layer and cook undisturbed 2 minutes (the marinade will have darkened in color and some of the sugars in it will have started to caramelize). Turn shrimp over and cook 30 seconds. Transfer to a platter. Arrange cucumbers on platter next to shrimp; season with sea salt and drizzle with remaining 2 tsp. sesame oil. Arrange lettuce leaves and mint sprigs on platter so that each component is visible and easily accessible. Place crushed peanuts in a small bowl and set out next to platter along with reserved marinade (for spooning into wraps).","Bon Appétit, Dinner, Seafood, Shellfish, Shrimp, Chile Pepper, Hot Pepper, Honey, Sesame Oil, Cucumber, Lettuce, Mint, Peanut"
4,recipe,100%,4.0,"Sauté asparagus hot and fast in a skillet to soften and slightly char, then toss in a soy dressing with crushed peanuts and shredded coconut to add addictive crunch.",Blistered Asparagus with Peanut Dressing ,https://www.epicurious.com//recipes/food/views/blistered-asparagus-with-coconut-peanut-soy-dressing,"2 Tbsp. vegetable oil, 12 oz. asparagus, trimmed, 1 Fresno chile, seeds removed, finely chopped, 2 Tbsp. soy sauce, 1 Tbsp. fresh lime juice, 1 tsp. honey, 1 tsp. toasted sesame oil, 1 tsp. finely grated peeled ginger, 2 Tbsp. crushed salted, dry-roasted peanuts, 2 Tbsp. toasted unsweetened shredded coconut","Heat oil in a large skillet over medium-high. Cook asparagus, tossing often, until stalks are bright green, blistered in spots, and tender, about 5 minutes. Season with salt and transfer to a platter. Stir chile, soy sauce, lime juice, honey, sesame oil, and ginger in a small bowl to combine. Mix in peanuts and coconut and spoon over asparagus.","Bon Appétit, Side, Asparagus, Spring, Peanut, Coconut, Chile Pepper, Sesame Oil, Ginger, Lime Juice, Honey, Vegetarian, Dairy Free"
5,recipe,0%,0.0,"In this Indonesian satay, the dipping sauce is used as a marinade to give the meat more intense flavor.",Chicken Satay,https://www.epicurious.com//recipes/food/views/indonesian-chicken-satay-sate-ayam,"5 candlenuts or cashews, or 10 blanched almonds, 5 cloves garlic, 2 fresh chiles, cut into medium chunks, Sea salt, 1 tablespoon ground coriander, Finely ground black pepper, 1/2 teaspoon cayenne pepper, 2 tablespoons vegetable oil, 1/2 cup (75 g) raw peanuts, finely ground, 1 tablespoon kecap manis (or 1 teaspoon sugar), plus more for the sauce","Soak 14 medium bamboo skewers for 30 minutes in cold water. To make the marinade: Put the candlenuts, garlic, chilies, and a little salt in a mortar and grind with a pestle until you have a fine paste—you can also do this in a food processor. Transfer to a bowl. Add the coriander, black pepper, and cayenne and mix well. Heat the vegetable oil in a skillet over medium heat. Add the candlenut-garlic mixture and fry until lightly colored, 2 to 3 minutes. Add the peanuts and kecap manis and fry for another couple of minutes. Let cool. Prepare a charcoal fire in an outdoor grill or preheat the broiler to high. To prepare the satay: Marinate the chicken in the sauce for at least 30 minutes or longer, then scrape the marinade off the chicken before threading it equally onto the skewers. Grill or broil for 3 minutes on each side, or until completely cooked through. Meanwhile, scrape the leftover marinade into a small saucepan. Add 1/2 cup (125 ml) water and a little more kecap manis (or a little sugar) and bring to a boil over medium heat. Transfer to a small bowl and serve as a dipping sauce with the grilled chicken.","HarperCollins, HarperCollins, Indonesian, Southeast Asian, Asian, Grill, Peanut, Nut, Chicken, Dinner, Chile Pepper, Garlic, Soy Sauce"
6,recipe,50%,2.5,"Tossed with crunchy cucumbers, peanuts, and fresh red chiles, this salad makes a refreshing summer dinner spooned over rice or all on its own.",Thai-Style Squid and Cucumber Salad,https://www.epicurious.com//recipes/food/views/thai-style-squid-and-cucumber-salad,"1/4 cup fresh lime juice (from about 3 limes), 1 garlic clove, finely grated, 1 Tbsp. fish sauce, 1 1/2 tsp. dark brown sugar, 1/4 cup plus 1 Tbsp. (or more) vegetable oil, 2 tsp. kosher salt, divided, 4 mini seedless or Persian cucumbers, halved lengthwise, sliced diagonally into 1/4""-thick slices, 1–2 Fresno chiles, seeded, thinly sliced, 1/2 cup salted, roasted peanuts, 1 1/2 lb. cleaned squid, patted dry, 1/4 cup cilantro sprigs, Steamed white rice (for serving; optional)","Whisk lime juice, garlic, fish sauce, brown sugar, 1/4 cup oil, and 1/2 tsp. salt in a large bowl. Add cucumber, chiles, and peanuts and toss to coat. Set aside. Make sure squid is as dry as possible, then toss with remaining 1 1/2 tsp. salt. Separate bodies from tentacles. Heat 1 Tbsp. oil in a large cast-iron skillet until smoking. Sear half of the tentacles (don’t try to do more than half—you don’t want to crowd the pan), turning once halfway through, until lightly charred and opaque, 2–3 minutes. Transfer to a plate. Repeat with remaining tentacles, adding more oil if needed. Add a little more oil, then sear half of the bodies, turning once and picking up with tongs so that any liquid that has accumulated inside bodies can pour off into skillet and evaporate, until lightly charred and opaque, 2–3 minutes. Transfer to plate with cooked tentacles. Repeat with remaining bodies. Thinly slice bodies, then transfer squid to bowl with cucumber mixture and toss to coat. Arrange salad on a platter and drizzle remaining dressing over. Top with cilantro sprigs. Serve with rice alongside, if using.","Salad, Lime Juice, Garlic, Cucumber, Chile, Peanut, Squid, Cilantro, Rice, Dinner, Asian, Southeast Asian, Thai, Thailand, Seafood, Summer, Spring"
7,recipe,100%,4.0,"Refreshingly cold noodles, Vietnamese-spiced pork meatballs, and an array of toppings like fried shallots and crushed peanuts ensure this make-ahead dinner is totally unforgettable.",Rice Noodles with Lemongrass Pork Meatballs,https://www.epicurious.com//recipes/food/views/vermicelli-noodles-with-lemongrass-pork-meatballs,"2 stalks lemongrass, 2 pounds ground pork, 1 tablespoon fish sauce, 2 1/2 teaspoons kosher salt, 2 teaspoons sugar, 1/4 teaspoon white pepper","Cut the bottom 1/2 inch off each lemongrass stalk and trim the woody top portion of each stalk and discard. Peel the outer layers of each stalk until you reach the tender center. Thinly slice the stalks into coins, then very finely mince. Transfer to a medium bowl and add the pork, fish sauce, salt, sugar, and white pepper and mix to combine. Roll into 1 1/2-inch meatballs and set on a rimmed baking sheet. The meatballs can be made beforehand; transfer to a lidded container or tightly wrap the baking sheet with plastic wrap. Refrigerate until ready to use but no longer than 24 hours.","Small Plates, Dinner, Meatball, Noodle, Pork, Vietnamese, Lemongrass, Wheat/Gluten-Free"
15,recipe,100%,4.0,"These meringue-like cookies have all our favorite granola ingredients. You can swap in equal amounts of other nuts and seeds, such as hazelnuts, peanuts, or sunflower seeds.",Granola Cluster Cookies,https://www.epicurious.com//recipes/food/views/pecan-almond-coconut-oat-granola-cluster-cookies,"1 1/2 cups pecans, 1 cup sliced almonds, 1 cup unsweetened coconut flakes, 3/4 cup pumpkin seeds (pepitas), 1/2 cup old-fashioned oats, 1/2 teaspoon kosher salt, 3 tablespoons virgin coconut or extra-virgin olive oil, melted, 2 large egg whites, 2/3 cup sugar","Preheat oven to 325°F. Toss pecans, almonds, coconut, pumpkin seeds, oats, salt, and oil on a rimmed baking sheet and bake, tossing once, until coconut is golden and mixture is fragrant, 10–12 minutes. Let cool. Whisk egg whites in a large bowl until foamy. Gradually add sugar, whisking until mixture is thick and opaque. Add nut mixture and fold to coat evenly. Drop 1/4-cupfuls of mixture onto a parchment-lined baking sheet, spacing evenly (if your baking sheets are small, you might have to use 2). Bake cookies, rotating baking sheet halfway through, until edges are golden, 15–20 minutes. Transfer to a wire rack and let cool.","Bon Appétit, Cookies, snack, Granola, Quick and Healthy, Healthy, Dairy Free, Nut, Pecan, Oat, Wheat/Gluten-Free, Vegetarian, Almond, Coconut"
18,recipe,0%,0.0,"These easy-to-make peanuts will make you feel like a chocolatier assembling a world-class candy bar. If you're anything like me, you can't keep chocolate bars around the house without breaking off a hunk every time you pass by, so by all means double the recipe if you want, just to make sure there's enough for folding into the ice cream later on.",Chocolate-Covered Peanuts,https://www.epicurious.com//recipes/food/views/chocolate-covered-peanuts-366133,"4 ounces (115 g) semisweet or bittersweet chocolate, chopped, 1 cup (150 g) roasted, unsalted peanuts","Put the pieces of chocolate in an absolutely dry heatproof bowl. Set the bowl over a saucepan of simmering water to melt the chocolate, stirring until smooth. In the meantime, stretch a piece of plastic wrap over a dinner plate. Once the chocolate is melted, remove it from the heat and stir in the peanuts, coating them with the chocolate. Spread the mixture on the plastic-lined plate and chill.","Chocolate, Nut, Dessert, Fourth of July, Vegetarian, Kid-Friendly, Quick & Easy, Halloween, Back to School, Backyard BBQ, Peanut, Shower, Edible Gift, Double Boiler, Kidney Friendly, Vegan, Pescatarian, Dairy Free, Wheat/Gluten-Free, Tree Nut Free, Soy Free, Kosher, Diabetes-Friendly"
24,recipe,0%,0.0,"If you have the homemade red curry paste on hand, this sauce comes together pretty fast and will last five days, sealed tightly and refrigerated.",Satay Peanut Sauce/Naam Jim Satay,https://www.epicurious.com//recipes/food/views/satay-peanut-saucenaam-jim-satay,"1 quart (820 grams) canola oil, for frying, 1 1/2 cups (336 grams) skinless peanuts, 1/8 cup (18 grams) red curry paste, 1 3/4 cups (455 grams) unsweetened coconut milk, 1 tablespoon (11 grams) kosher salt, plus more as needed, 1/2 cup (120 grams) water, 1 1/2 cups (180 grams) dark brown sugar","Heat the oil in a wok or heavy saucepan over medium-high heat. When the oil registers 350°F on a deep-fry thermometer, carefully lower in the peanuts and fry until they turn a rich caramel brown. Remove with a strainer and transfer to paper towels to drain and cool. Transfer the cooled peanuts to a mortar and lightly crush them with a pestle to a coarse texture; set aside. Combine the red curry paste and 1/4 cup (65 grams) of the coconut milk in a medium saucepan over medium heat. Cook, stirring occasionally, until the oil separates and the mixture becomes fragrant—be careful not to let it scorch. Add the remaining 1 1/2 cups (325 grams) coconut milk, the measured salt, water, brown sugar, and crushed peanuts. Bring to a boil, then turn off the heat and let the mixture stand for 45 minutes to 1 hour to cool and allow the peanuts to hydrate. Transfer to a blender and puree until the sauce is smooth. Taste and adjust the seasoning with more salt as needed.","HarperCollins, Thai, Peanut, Chile Pepper, Sauce, Condiment, Condiment/Spread, Coconut"
