,Title,Series,Number_in_series,Score,Rating,Number_of_ratings
0,The Handmaid's Tale,,,30733,4.09,1101568
1,The Hunger Games,The Hunger Games,1,28553,4.33,5741857
2,Frankenstein,,,21909,3.78,1023245
3,A Wrinkle in Time,Time Quintet,1,18720,4.01,902852
4,The Left Hand of Darkness,Hainish Cycle,4,17920,4.06,98748
5,Divergent,Divergent,1,13326,4.21,2602296
6,Catching Fire,The Hunger Games,2,12749,4.29,2200427
7,The Giver,The Giver,1,12399,4.12,1534799
8,Kindred,,,11070,4.23,72295
9,The Dispossessed,Hainish Cycle,6,10731,4.21,71617
10,Oryx and Crake,MaddAddam,1,10117,4.01,197737
11,Mockingjay,The Hunger Games,3,9807,4.03,2071712
12,The Time Traveler's Wife,,,9193,3.96,1446554
13,Doomsday Book,Oxford Time Travel,1,8935,4.03,43246
14,The Lathe of Heaven,,,7775,4.11,43979
15,Ancillary Justice,Imperial Radch,1,7336,3.98,66175
16,Shards of Honour,Vorkosigan Saga,1,7017,4.11,25864
17,To Say Nothing of the Dog,Oxford Time Travel,2,6890,4.13,29639
18,The Sparrow,The Sparrow,1,6873,4.17,52728
19,Dragonflight,Dragonriders of Pern,1,6802,4.1,116144
20,Parable of the Sower,Earthseed,1,6653,4.16,42215
21,The Warrior's Apprentice,Vorkosigan Saga,2,6087,4.29,20950
22,Barrayar,Vorkosigan Saga,7,5623,4.31,22106
23,The Host,The Host,1,5274,3.84,828920
24,Insurgent,Divergent,2,4899,4.05,1045701
25,Memory,Vorkosigan Saga,10,4682,4.45,13944
26,The Children of Men,,,4484,3.68,36097
27,Starshine,Aurora Rhapsody,1,4394,3.91,2144
28,The Year of the Flood,MaddAddam,2,4343,4.06,92204
29,Crystal Singer,Crystal Singer,1,4235,4.09,17772
30,Mirror Dance,Vorkosigan Saga,8,4120,4.33,17324
31,Lilith's Brood,Xenogenesis,1-3,4108,4.33,12567
32,The Vor Game,Vorkosigan Saga,6,3895,4.28,18975
33,Wild Seed,Patternmaster,1,3842,4.21,14424
34,A Wind in the Door,Time Quintet,2,3700,4.04,106031
35,A Civil Campaign,Vorkosigan Saga,12,3683,4.43,14488
36,Brothers in Arms,Vorkosigan Saga,5,3653,4.21,13271
37,Cetaganda,Vorkosigan Saga,9,3618,4.17,14824
38,The Snow Queen,The Snow Queen Cycle,1,3535,3.95,11142
39,Cinder,The Lunar Chronicles,1,3440,4.15,582657
40,Downbelow Station,The Company Wars,1,3381,3.91,12106
41,The Ship Who Sang,Brainship,1,3361,4.01,21157
42,Dragon Dawn,Dinosaurian Time Travel,1,3340,3.81,194
43,Dragonsong,Harper Hall,1,3092,4.25,43805
44,Falling Free,Vorkosigan Saga,4,3054,3.83,16009
45,Ethan of Athos,Vorkosigan Saga,3,2904,3.76,11387
46,A Swiftly Tilting Planet,Time Quintet,3,2831,4.11,95079
47,Dawn,Xenogenesis,1,2755,4.12,22763
48,Komarr,Vorkosigan Saga,11,2579,4.3,12905
49,Foreigner,Foreigner,1,2547,3.94,7155
50,Where Late the Sweet Birds Sang,,,2535,3.87,8278
51,Beggars in Spain,Sleepless,1,2526,3.94,6810
52,Her Smoke Rose Up Forever,,,2524,4.21,3311
53,The Silver Metal Lover,Silver Metal Lover,1,2504,4.03,3384
54,Cordelia's Honor,Vorkosigan Omnibus,1,2498,4.37,11640
55,The Pride of Chanur,Chanur,1,2469,3.92,5909
56,Station Eleven,,,2450,4.03,253691
57,Cyteen,Cyteen,1-3,2316,4.0,9283
58,Borders of Infinity,Vorkosigan Saga [Publication],5.1-5.3,2306,4.24,8709
59,Goose Island,,,2300,4.76,118
60,Grass,Arbai,1,2203,4.04,9263
61,Chameleon,The Domino Project,1,2199,4.18,191
62,The Gate to Women's Country,,,2191,4.05,11540
63,The Female Man,,,2128,3.54,5349
64,In the Garden of Iden,The Company,1,2038,3.77,4996
65,Rogue Genesis,Shimmer in the Dark,1,2013,4.44,133
66,Parable of the Talents,Earthseed,2,2006,4.24,17396
67,The Faded Sun Trilogy,The Faded Sun,1-3,1931,4.12,4627
68,Diplomatic Immunity,Vorkosigan Saga,13,1914,4.18,12106
69,His Majesty's Dragon,Temeraire,1,1849,4.06,67058
70,The Speed of Dark,,,1819,4.0,9436
71,Darkover Landfall,,,1748,3.88,5953
72,Machinations,Machinations,1,1698,3.79,248
73,Vertigo,Aurora Rhapsody,2,1684,4.22,1042
74,CryoBurn,Vorkosigan Saga,14,1683,4.06,11937
75,Seed to Harvest,Patternmaster,1-4,1659,4.33,3944
76,The Wind's Twelve Quarters,,,1572,4.04,4041
77,Remnant Population,,,1547,4.06,3627
78,The Word for World is Forest,,,1510,3.95,12898
79,Grimspace,Sirantha Jax,1,1497,3.73,12658
80,Ammonite,,,1477,3.86,3713
81,Across the Universe,Across the Universe,1,1435,3.77,107407
82,Inheritor,Foreigner,3,1392,4.19,3610
83,The V Girl,,,1380,4.02,7833
84,Delirium,Delirium,1,1366,3.98,392234
85,Dreamsnake,,,1324,3.86,8402
86,Women of Wonder,,,1297,4.0,272
87,All Systems Red,The Murderbot Diaries,1,1296,4.15,35012
88,Trading in Danger,Vatta's War,1,1286,3.98,11161
89,Invader,Foreigner,2,1276,4.17,4058
90,Woman on the Edge of Time,,,1276,3.95,12597
91,China Mountain Zhang,,,1253,3.94,3453
92,Stardoc,Stardoc,1,1230,3.8,3632
93,MaddAddam,MaddAddam,3,1212,4.0,52186
94,Valor's Choice,Confederation,1,1165,3.98,6895
95,Bellwether,,,1142,3.93,10067
96,This Alien Shore,,,1130,4.04,3260
97,Primary Inversion,Saga of the Skolian Empire,1,1119,3.74,3686
98,Scarlet,The Lunar Chronicles,2,1115,4.29,265215
99,Probability Moon,Probability,1,1107,3.61,1291
