,Author,Rank,Rating,Score,Title,Votes
0,Margaret Atwood,1,"4.09 avg rating — 1,101,568 ratings","score: 30,733",The Handmaid's Tale,314 people voted
1,Suzanne Collins,2,"4.33 avg rating — 5,741,857 ratings","score: 28,553","The Hunger Games (The Hunger Games, #1)",292 people voted
2,Mary Wollstonecraft Shelley,3,"3.78 avg rating — 1,023,245 ratings","score: 21,909",Frankenstein,224 people voted
3,Madeleine L'Engle,4,"4.01 avg rating — 902,852 ratings","score: 18,720","A Wrinkle in Time (Time Quintet, #1)",196 people voted
4,Ursula K. Le Guin,5,"4.06 avg rating — 98,748 ratings","score: 17,920",The Left Hand of Darkness (Hainish Cycle #4),184 people voted
5,Veronica Roth,6,"4.21 avg rating — 2,602,296 ratings","score: 13,326","Divergent (Divergent, #1)",138 people voted
6,Suzanne Collins,7,"4.29 avg rating — 2,200,427 ratings","score: 12,749","Catching Fire (The Hunger Games, #2)",133 people voted
7,Lois Lowry,8,"4.12 avg rating — 1,534,799 ratings","score: 12,399","The Giver (The Giver, #1)",129 people voted
8,Octavia E. Butler,9,"4.23 avg rating — 72,295 ratings","score: 11,070",Kindred,116 people voted
9,Ursula K. Le Guin,10,"4.21 avg rating — 71,617 ratings","score: 10,731",The Dispossessed (Hainish Cycle #6),112 people voted
10,Margaret Atwood,11,"4.01 avg rating — 197,737 ratings","score: 10,117","Oryx and Crake (MaddAddam, #1)",107 people voted
11,Suzanne Collins,12,"4.03 avg rating — 2,071,712 ratings","score: 9,807","Mockingjay (The Hunger Games, #3)",104 people voted
12,Audrey Niffenegger,13,"3.96 avg rating — 1,446,554 ratings","score: 9,193",The Time Traveler's Wife,98 people voted
13,Connie Willis,14,"4.03 avg rating — 43,246 ratings","score: 8,935","Doomsday Book (Oxford Time Travel, #1)",96 people voted
14,Ursula K. Le Guin,15,"4.11 avg rating — 43,979 ratings","score: 7,775",The Lathe of Heaven,84 people voted
15,Ann Leckie,16,"3.98 avg rating — 66,175 ratings","score: 7,336",Ancillary Justice (Imperial Radch #1),81 people voted
16,Lois McMaster Bujold,17,"4.11 avg rating — 25,864 ratings","score: 7,017","Shards of Honour  (Vorkosigan Saga, #1)",75 people voted
17,Connie Willis,18,"4.13 avg rating — 29,639 ratings","score: 6,890","To Say Nothing of the Dog (Oxford Time Travel, #2)",74 people voted
18,Mary Doria Russell,19,"4.17 avg rating — 52,728 ratings","score: 6,873","The Sparrow (The Sparrow, #1)",72 people voted
