,Popularity,Title,URL,Year
0,0,1. Lucy in the Sky with Diamonds,http://www.metrolyrics.com/1-lucy-in-the-sky-with-diamonds-lyrics-beatles.html,2015
1,0,12 - Bar Original,http://www.metrolyrics.com/12-bar-original-lyrics-beatles.html,1996
2,0,1822!,http://www.metrolyrics.com/1822-lyrics-beatles.html,2006
3,0,A Beginning,http://www.metrolyrics.com/a-beginning-lyrics-beatles.html,2006
4,7,A Day In The Life,http://www.metrolyrics.com/a-day-in-the-life-lyrics-beatles.html,1996
5,6,A Hard Day's Night,http://www.metrolyrics.com/a-hard-days-night-lyrics-beatles.html,1973
6,0,A Little Rhyme,http://www.metrolyrics.com/a-little-rhyme-lyrics-beatles.html,2006
7,0,A Shot of Rhythm & Blues,http://www.metrolyrics.com/a-shot-of-rhythm-blues-lyrics-beatles.html,2006
8,3,A Taste of Honey,http://www.metrolyrics.com/a-taste-of-honey-lyrics-beatles.html,2014
9,7,Abbey Road Medley,http://www.metrolyrics.com/abbey-road-medley-lyrics-beatles.html,2010
10,7,Across The Universe,http://www.metrolyrics.com/across-the-universe-lyrics-beatles.html,1988
11,3,Act Naturally,http://www.metrolyrics.com/act-naturally-lyrics-beatles.html,2014
12,1,Ain't She Sweet,http://www.metrolyrics.com/aint-she-sweet-lyrics-beatles.html,2013
13,3,All I've Got to Do,http://www.metrolyrics.com/all-ive-got-to-do-lyrics-beatles.html,2006
14,6,All My Loving,http://www.metrolyrics.com/all-my-loving-lyrics-beatles.html,1973
15,0,All My Loving (Original Mono),http://www.metrolyrics.com/all-my-loving-original-mono-lyrics-beatles.html,2006
16,1,All My Loving (Stereo),http://www.metrolyrics.com/all-my-loving-stereo-lyrics-beatles.html,2006
17,0,All Things Must Pass,http://www.metrolyrics.com/all-things-must-pass-lyrics-beatles.html,2000
18,0,All Those Years Ago,http://www.metrolyrics.com/all-those-years-ago-lyrics-beatles.html,2000
19,5,All Together Now,http://www.metrolyrics.com/all-together-now-lyrics-beatles.html,2000
20,8,All You Need is Love,http://www.metrolyrics.com/all-you-need-is-love-lyrics-beatles.html,2000
21,6,And I Love Her,http://www.metrolyrics.com/and-i-love-her-lyrics-beatles.html,1973
22,0,And I Love Her (Original Mono),http://www.metrolyrics.com/and-i-love-her-original-mono-lyrics-beatles.html,2006
23,3,And I Love Her (stereo),http://www.metrolyrics.com/and-i-love-her-stereo-lyrics-beatles.html,2006
24,3,And Your Bird Can Sing,http://www.metrolyrics.com/and-your-bird-can-sing-lyrics-beatles.html,1996
25,4,Anna,http://www.metrolyrics.com/anna-lyrics-beatles.html,2006
26,1,Anna (go To Him),http://www.metrolyrics.com/anna-go-to-him-lyrics-beatles.html,2014
27,0,Another Girl,http://www.metrolyrics.com/another-girl-lyrics-beatles.html,2014
28,3,Any Time at All,http://www.metrolyrics.com/any-time-at-all-lyrics-beatles.html,2006
29,0,Any Time It All,http://www.metrolyrics.com/any-time-it-all-lyrics-beatles.html,2006
30,1,Anything,http://www.metrolyrics.com/anything-lyrics-beatles.html,2007
31,1,Anything You Need,http://www.metrolyrics.com/anything-you-need-lyrics-beatles.html,2012
32,2,Ask Me Why,http://www.metrolyrics.com/ask-me-why-lyrics-beatles.html,2000
33,3,Baby It's You,http://www.metrolyrics.com/baby-its-you-lyrics-beatles.html,1995
34,3,Baby's in Black,http://www.metrolyrics.com/babys-in-black-lyrics-beatles.html,1996
35,0,Baby's in Black (Original Mono),http://www.metrolyrics.com/babys-in-black-original-mono-lyrics-beatles.html,2006
36,0,Baby's in Black (Stereo),http://www.metrolyrics.com/babys-in-black-stereo-lyrics-beatles.html,2006
37,3,"Baby, You're a Rich Man",http://www.metrolyrics.com/baby-youre-a-rich-man-lyrics-beatles.html,2012
38,5,Back in the U.S.S.R,http://www.metrolyrics.com/back-in-the-ussr-lyrics-beatles.html,1990
39,3,Bad Boy,http://www.metrolyrics.com/bad-boy-lyrics-beatles.html,1988
40,4,Bad To Me,http://www.metrolyrics.com/bad-to-me-lyrics-beatles.html,2007
41,0,Beatle Greetings,http://www.metrolyrics.com/beatle-greetings-lyrics-beatles.html,2006
42,5,Because,http://www.metrolyrics.com/because-lyrics-beatles.html,1990
43,0,Because I Know You Love Me So,http://www.metrolyrics.com/because-i-know-you-love-me-so-lyrics-the-beatles.html,2008
44,4,Being For The Benefit Of Mr Kite,http://www.metrolyrics.com/being-for-the-benefit-of-mr-kite-lyrics-beatles.html,1996
45,0,Being For The Benefit Of Mr. Kite! (take 7),http://www.metrolyrics.com/being-for-the-benefit-of-mr-kite-take-7-lyrics-beatles.html,2006
46,2,Beneath The Ocean,http://www.metrolyrics.com/beneath-the-ocean-lyrics-beatles.html,2012
47,3,Besame Mucho,http://www.metrolyrics.com/besame-mucho-lyrics-beatles.html,2006
48,6,Birthday,http://www.metrolyrics.com/birthday-lyrics-beatles.html,1990
