,Popularity,Title,URL,Year,Lyrics
0,0,1. Lucy in the Sky with Diamonds,http://www.metrolyrics.com/1-lucy-in-the-sky-with-diamonds-lyrics-beatles.html,2015,"Picture yourself in a boat on a river
With tangerine trees and marmalade skies
Somebody calls you, you answer quite slowly
A girl with kaleidoscope eyes
Cellophane flowers of yellow and green
Towering over your head
Look for the girl with the sun in her eyes
And she's gone
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Lucy in the sky with diamonds, ahh
Follow her down to a bridge by a fountain
Where rocking horse people eat marshmallow pies
Everyone smiles as you drift past the flowers
That grow so incredibly high
Newspaper taxis appear on the shore
Waiting to take you away
Climb in the back with your head in the clouds
And you're gone
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Lucy in the sky with diamonds, ahh
Picture yourself on a train in a station
With plasticine porters with looking glass ties
Suddenly someone is there at the turnstile
The girl with kaleidoscope eyes
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Lucy in the sky with diamonds, ahh
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Lucy in the sky with diamonds, ahh
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Lucy in the sky with diamonds..."
1,0,12 - Bar Original,http://www.metrolyrics.com/12-bar-original-lyrics-beatles.html,1996,[instrumental]
2,0,1822!,http://www.metrolyrics.com/1822-lyrics-beatles.html,2006,"This is a Dorsey Burnette number, brother of Johnny Burnette, called ""Lonesome Tears in My Eyes"", recorded on their very first LP in 1822! 
Ha!"
3,0,A Beginning,http://www.metrolyrics.com/a-beginning-lyrics-beatles.html,2006,[instrumental]
4,7,A Day In The Life,http://www.metrolyrics.com/a-day-in-the-life-lyrics-beatles.html,1996,"I read the news today oh boy
About a lucky man who made the grade
And though the news was rather sad
Well I just had to laugh
I saw the photograph
He blew his mind out in a car
He didn't notice that the lights had changed
A crowd of people stood and stared
They'd seen his face before
Nobody was really sure
If he was from the House of Lords
I saw a film today oh boy
The English Army had just won the war
A crowd of people turned away
But I just had to look
Having read the book
I'd love to turn you on
Woke up, fell out of bed
Dragged a comb across my head
Found my way downstairs and drank a cup
And looking up I noticed I was late
Found my coat and grabbed my hat
Made the bus in seconds flat
Found my way upstairs and had a smoke
And somebody spoke and I went into a dream
I read the news today oh boy
Four thousand holes in Blackburn, Lancashire
And though the holes were rather small
They had to count them all
Now they know how many holes it takes to fill the Albert Hall
I'd love to turn you on"
5,6,A Hard Day's Night,http://www.metrolyrics.com/a-hard-days-night-lyrics-beatles.html,1973,"It's been a hard day's night, and I've been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I find the things that you do
Will make me feel alright
You know I work all day to get you money to buy you things
And it's worth it just to hear you say you're gonna give me everything
So why on earth should I moan, 'cause when I get you alone
You know I feel OK
When I'm home, everything seems to be right
When I'm home, feeling you holding me tight, tight
It's been a hard day's night, and I've been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I find the things that you do
Will make me feel alright owww!
So why on earth should I moan, 'cause when I get you alone
You know I feel OK
When I'm home, everything seems to be right
When I'm home, feeling you holding me tight, tight
It's been a hard day's night, and I've been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I find the things that you do
Will make me feel alright
You know I feel alright
You know I feel alright"
6,0,A Little Rhyme,http://www.metrolyrics.com/a-little-rhyme-lyrics-beatles.html,2006,"Now, for the final number, John's got a card in his hand with a little rhyme on it.
What is it?
It's from the form up a third at Hemel Hempstead.
Oh!
It says, ""
Dear George, John, Ringo, Paul, here's hoping that you'll please us all.
A beauty song and swinging voice, we leave it up to you, the choice.
We think you're fab and really cool, so brighten up our lads at school."" Dig this, for here's Paul, whistling ""
Clarabella""."
7,0,A Shot of Rhythm & Blues,http://www.metrolyrics.com/a-shot-of-rhythm-blues-lyrics-beatles.html,2006,"Well, if your hands start a-clappin'
And your fingers start a-poppin'
And your feet start a-movin' around
And if you start to swing and sway
When the band starts to play
A real cool way out sound
And if you get to can't help it and you can't sit down
You feel like you gotta move around
You get a shot of rhythm and blues
With just a little rock and roll on the side
Just for good measure
Get a pair of dancin' shoes
Well, with your lover by your side
Don't you know you're gonna have a lot of it
Don't you worry 'bout a thing
If you start to dance and sing
Until bumps come up on you
And if the rhythm finally gets you
And the beat gets you too
Well, here's something for you to do
Get a shot of rhythm and blues
With just a little rock and roll on the side
Just for good measure
Get a pair of dancin' shoes
Well, with your lover by your side
Don't you know you're gonna have a lot of it
Don't you worry 'bout a thing
If you start to dance and sing
Until bumps come up on you
And if the rhythm finally gets you
And the beat gets you too
Well, here's something for you to do
Get a shot of rhythm and blues
Get a pair of dancin' shoes
Get a shot of rhythm and blues
Well, with your lover by your side
Don't you know you're gonna have a lot of it
Oh don't you worry 'bout a thing
If you start to dance and sing
Until bumps come up on you
And if the rhythm finally gets you
And the beat gets you too
Well, here's something for you to do
Well, here's something for you to do
Well, here's something for you to do"
8,3,A Taste of Honey,http://www.metrolyrics.com/a-taste-of-honey-lyrics-beatles.html,2014,
9,7,Abbey Road Medley,http://www.metrolyrics.com/abbey-road-medley-lyrics-beatles.html,2010,"You Never Give Me Your Money
You only give me your paper
And in the middle of negotiations you break down
I never give you my number
I only give my situation
And in the middle of investigation I break down
Out of college, money spent
See no future, pay no rent
All the money's gone, nowhere to go
Any jobber got the sack
Monday morning, turning back
Yellow lorry slow, nowhere to go
But, oh, that magic feeling
Nowhere to go
Oh, that magic feeling
Nowhere to go
One sweet dream
Pick up the bags and get in the limousine
Soon we'll be away from here
Step on the gas and wipe that tear away
One sweet dream came true today
Came true today
Yes it did (na, na)
One, two, three, four, five, six, seven
All good children go to heaven
One, two, three, four, five, six, seven
All good children go to heaven
One, two, three, four, five, six, seven
All good children go to heaven
One, two, three, four, five, six, seven
All good children go to heaven
One, two, three, four, five, six, seven
All good children go to heaven
Ah
Here come the Sun King
Here come the Sun King
Everybody's laughing
Everybody's happy
Here come the Sun King
Quando paramucho mi amore defelice corazon 
Mundo pararazzi mi amore chicka ferdy parasol 
Cuesto obrigado tanta mucho que can eat it carousel
Mean Mr. Mustard sleeps in the park
Shaves in the dark, trying to save paper
Sleeps in a hole in the road
Saving up to buy him some clothes
Keeps a ten bob note up his nose
Such a dirty old man
His sister Pam works in the shop
She doesn't stop; she's a go-getter
Takes him out to look at the queen
Only place that he's ever been
Always shouts out something obscene
Such a dirty old man
Dirty old man
Well, you should see Polythene Pam
She's so good-looking, but she looks like a man
Well, you should see her in drag
Dressed in her polythene bag
Yes, you should see Polythene Pam
Yeah, yeah, yeah
Get a dose of her in jackboots and kilt
She's killer-diller when she's dressed to the hilt
She's the kind of a girl
Who makes the News Of The World
Yes, you could say that she's attractively built
Yeah, yeah, yeah
Yeah, yeah, yeah
(John) She's coming in the house
(Paul) Oh, look out!
She Came In Through The Bathroom Window
Protected by a silver spoon
But now she sucks her thumb and wonders
By the banks of her own lagoon
Didn't anybody tell her?
Didn't anybody see?
Sunday's on the phone to Monday
Tuesday's on the phone to me
She said she'd always been a dancer
She worked at fifteen clubs a day
And though I thought I knew the answer
Well, I knew what I could not say
And so I quit the police department
And got myself a steady job
Although she tried her best to help me
She could steal, but she could not rob
Didn't anybody tell her?
Didn't anybody see?
Sunday's on the phone to Monday
Tuesday's on the phone to me 
Oh, yeah
Once there was a way
To get back homeward
Once there was a way to get back home
Sleep, pretty darling; do not cry
And I will sing a lullaby
Once there was a way
To get back homeward
Once there was a way to get back home
Sleep, pretty darling; do not cry
And I will sing a lullaby

Golden Slumbers fill your eyes
Smiles awake you when you rise
Sleep. pretty darling, do not cry
And I will sing a lullaby.
Boy, you're gonna Carry That Weight
Carry That Weight a long time
Boy, you're gonna Carry That Weight
Carry That Weight a long time
I never give you my pillow
I only give you my invitations
And in the middle of the celebrations
I break down
Boy, you're gonna Darry That Weight
Carry That Weight a long time
Boy, you're gonna Carry That Weight
Carry That Weight a long time
Oh yeah!
All right!
Are you going to be in my dreams tonight?
Love you, love you, love you, love you, love you, love you
Love you, love you, love you, love you, love you, love you
Love you, love you, love you, love you, love you, love you
Love you, love you, love you, love you, love you, love you
Love you, love you, love you, love you, love you, love you
And, in The End
The love you take
Is equal to the love you make
Her Majesty's a pretty nice girl
But she doesn't have a lot to say
Her majesty's a pretty nice girl
But she changes from day to day
I want to tell her that I love her a lot
But I got to get a bellyful of wine
Her majesty's a real nice girl
Someday I'm going to make her mine
Oh yeah, someday I'm going to make her mine"
